GCAMsector;GCAMsubsector;GCAMtechnology;sector;subsectorL3;subsectorL2;subsectorL1;vehicleType;technology;univocalName
trn_aviation_intl;International Aviation;Liquids;trn_aviation_intl;International Aviation;International Aviation_tmp_subsector_L2;International Aviation_tmp_subsector_L1;International Aviation_tmp_vehicletype;Liquids;International Aviation
trn_freight;Domestic Ship;Liquids;trn_freight;Domestic Ship;Domestic Ship_tmp_subsector_L2;Domestic Ship_tmp_subsector_L1;Domestic Ship_tmp_vehicletype;Liquids;Domestic Ship
trn_freight;Freight Rail;Coal;NA;NA;NA;NA;NA;NA;NA
trn_freight;Freight Rail;Electric;trn_freight;Freight Rail;Freight Rail_tmp_subsector_L2;Freight Rail_tmp_subsector_L1;Freight Rail_tmp_vehicletype;Electric;Freight Rail
trn_freight;Freight Rail;Liquids;trn_freight;Freight Rail;Freight Rail_tmp_subsector_L2;Freight Rail_tmp_subsector_L1;Freight Rail_tmp_vehicletype;Liquids;Freight Rail
trn_freight;road;road;NA;NA;NA;NA;NA;NA;NA
trn_freight_road;Truck (0-2t);Liquids;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3_5t);Liquids;Truck (0-3_5t)
trn_freight_road;Truck (0-2t);NG;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3_5t);NG;Truck (0-3_5t)
trn_freight_road;Truck (2-5t);Liquids;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3_5t);Liquids;Truck (0-3_5t)
trn_freight_road;Truck (2-5t);NG;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3_5t);NG;Truck (0-3_5t)
trn_freight_road;Truck (5-9t);Liquids;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7_5t);Liquids;Truck (7_5t)
trn_freight_road;Truck (5-9t);NG;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7_5t);NG;Truck (7_5t)
trn_freight_road;Truck (9-16t);Liquids;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7_5t);Liquids;Truck (7_5t)
trn_freight_road;Truck (9-16t);NG;trn_freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7_5t);NG;Truck (7_5t)
trn_pass;Cycle;Cycle;trn_pass;Cycle;Cycle_tmp_subsector_L2;Cycle_tmp_subsector_L1;Cycle_tmp_vehicletype;Cycle_tmp_technology;Cycle
trn_pass;Domestic Aviation;Liquids;trn_pass;Domestic Aviation;Domestic Aviation_tmp_subsector_L2;Domestic Aviation_tmp_subsector_L1;Domestic Aviation_tmp_vehicletype;Liquids;Domestic Aviation
trn_pass;HSR;Electric;trn_pass;HSR;HSR_tmp_subsector_L2;HSR_tmp_subsector_L1;HSR_tmp_vehicletype;Electric;HSR
trn_pass;Passenger Rail;Electric;trn_pass;Passenger Rail;Passenger Rail_tmp_subsector_L2;Passenger Rail_tmp_subsector_L1;Passenger Rail_tmp_vehicletype;Electric;Passenger Rail
trn_pass;Passenger Rail;Liquids;trn_pass;Passenger Rail;Passenger Rail_tmp_subsector_L2;Passenger Rail_tmp_subsector_L1;Passenger Rail_tmp_vehicletype;Liquids;Passenger Rail
trn_pass;Walk;Walk;trn_pass;Walk;Walk_tmp_subsector_L2;Walk_tmp_subsector_L1;Walk_tmp_vehicletype;Walk_tmp_technology;Walk
trn_pass;road;road;NA;NA;NA;NA;NA;NA;NA
trn_pass_road;Bus;Liquids;trn_pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;Liquids;Bus
trn_pass_road;Bus;NG;trn_pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;NG;Bus
trn_pass_road;LDV;LDV;NA;NA;NA;NA;NA;NA;NA
trn_pass_road_LDV;2W;2W;NA;NA;NA;NA;NA;NA;NA
trn_pass_road_LDV;4W;4W;NA;NA;NA;NA;NA;NA;NA
