SSPscen;transportPolScen;regionCat;level;subsectorL1;subsectorL2;FVvehvar;technology;target;symmyr;speed
SDP;Mix2;below GDP cutoff;FV;;;Aviation;Electric;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Aviation;Hydrogen;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Aviation;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Bus;BEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Bus;FCEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Bus;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Bus;NG;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;LDV|2W;BEV;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;LDV|2W;FCEV;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;LDV|2W;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Rail;Electric;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Rail;Hydrogen;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Rail;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Ship;Electric;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Ship;Hydrogen;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Ship;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|heavy;BEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|heavy;FCEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|heavy;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|heavy;NG;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|light;BEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|light;FCEV;1.5;2035;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|light;Liquids;1;2050;10
SDP;Mix2;below GDP cutoff;FV;;;Truck|light;NG;1;2050;10
SDP;Mix2;below GDP cutoff;S2S1;trn_pass_road;Bus;;;1;2050;10
SDP;Mix2;below GDP cutoff;S2S1;trn_pass_road;trn_pass_road_LDV;;;0.9;2035;10
SDP;Mix2;below GDP cutoff;S1S;Cycle;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;Domestic Aviation;;;;0.75;2035;10
SDP;Mix2;below GDP cutoff;S1S;Domestic Ship;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;Freight Rail;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;HSR;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;Passenger Rail;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;Walk;;;;1;2050;10
SDP;Mix2;below GDP cutoff;S1S;trn_freight_road;;;;0.9;2035;10
SDP;Mix2;below GDP cutoff;S1S;trn_pass_road;;;;0.9;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Aviation;Electric;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Aviation;Hydrogen;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Aviation;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Bus;BEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Bus;FCEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Bus;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Bus;NG;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;LDV|2W;BEV;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;LDV|2W;FCEV;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;LDV|2W;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Rail;Electric;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Rail;Hydrogen;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Rail;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Ship;Electric;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Ship;Hydrogen;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Ship;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|heavy;BEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|heavy;FCEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|heavy;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|heavy;NG;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|light;BEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|light;FCEV;2;2035;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|light;Liquids;1;2050;10
SDP;Mix2;above GDP cutoff;FV;;;Truck|light;NG;1;2050;10
SDP;Mix2;above GDP cutoff;S2S1;trn_pass_road;Bus;;;1;2050;10
SDP;Mix2;above GDP cutoff;S2S1;trn_pass_road;trn_pass_road_LDV;;;0.9;2035;10
SDP;Mix2;above GDP cutoff;S1S;Cycle;;;;1;2050;10
SDP;Mix2;above GDP cutoff;S1S;Domestic Aviation;;;;0.75;2035;10
SDP;Mix2;above GDP cutoff;S1S;Domestic Ship;;;;1;2050;10
